pairing_id,covered_legs,total_cost,duty_itineraries
duty_seed_355,"[3504676342, 3504676663]",275.0,['HAM ➔ STR ➔ HAM']
duty_seed_356,[3504676535],275.0,['SZG ➔ HAM']
duty_seed_358,[3504676943],275.0,['DUS ➔ PRG']
duty_seed_360,[3504676536],275.0,['HAM ➔ SZG']
duty_seed_363,[3504676837],275.0,['BHX ➔ DUS']
duty_seed_364,[3504676944],275.0,['PRG ➔ DUS']
duty_seed_365,[3505309729],275.0,['DUS ➔ PRG']
duty_seed_366,[3505309724],275.0,['ZRH ➔ DUS']
duty_seed_367,[3505309620],275.0,['BHX ➔ DUS']
duty_seed_368,[3505309440],275.0,['DUS ➔ SZG']
duty_seed_369,[3505309730],275.0,['PRG ➔ DUS']
duty_seed_370,[3505309438],275.0,['PRG ➔ DUS']
duty_seed_371,[3505309726],275.0,['ZRH ➔ DUS']
duty_seed_373,[3505309443],275.0,['SZG ➔ HAM']
duty_seed_374,[3505309444],275.0,['HAM ➔ SZG']
duty_seed_375,[3505309622],275.0,['BHX ➔ DUS']
duty_seed_377,[3505310325],275.0,['BHX ➔ DUS']
duty_seed_378,[3505310130],275.0,['PRG ➔ CGN']
duty_seed_380,[3505310425],275.0,['ZRH ➔ DUS']
duty_seed_381,[3505310139],275.0,['SZG ➔ HAM']
duty_seed_383,[3505310327],275.0,['BHX ➔ DUS']
duty_seed_384,[3505310137],275.0,['DUS ➔ SZG']
duty_seed_385,[3505310429],275.0,['DUS ➔ PRG']
duty_seed_386,"[3505310792, 3505310793]",275.0,['CGN ➔ PSA ➔ CGN']
duty_seed_387,[3505311174],275.0,['DUS ➔ PRG']
duty_seed_388,[3505310914],275.0,['HAM ➔ SZG']
duty_seed_389,[3505310912],275.0,['DUS ➔ SZG']
duty_seed_390,[3505311175],275.0,['PRG ➔ DUS']
duty_seed_391,[3505310913],275.0,['SZG ➔ HAM']
duty_seed_393,"[3504618945, 3504618947]",277.5,['STR ➔ LHR ➔ STR']
duty_seed_394,"[3504618804, 3504618805]",277.5,['CGN ➔ NCE ➔ CGN']
